date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2021-05-23,2294.7153,2347.0908,2359.1968,2302.639,2326.7256,2278.741,2230.936,2197.3264,2156.608,2038.5797,2033.3181,2124.942,2117.7078,1932.2909,1960.5521,1961.2102,1923.6735,1841.3602,1903.4432,1899.0392,1973.9227,2076.3984,2103.4707,2059.1147
2021-05-24,2112.9668,2138.6543,2124.0872,2169.5144,2153.6155,2115.2048,2121.2974,2186.232,2299.1145,2283.8274,2252.3345,2262.925,2371.4197,2426.922,2382.3801,2436.5513,2525.2717,2457.1804,2538.285,2544.5625,2657.3105,2627.3691,2593.9844,2578.125
2021-05-25,2631.4314,2715.7866,2667.324,2562.742,2597.7307,2593.7307,2573.541,2657.8552,2663.6152,2581.2625,2546.3667,2456.6602,2403.0667,2463.4548,2539.4116,2584.977,2620.0623,2593.2222,2591.1506,2598.1604,2524.5432,2549.314,2621.811,2706.0618
2021-05-26,2708.7583,2691.068,2773.5476,2815.4277,2846.7773,2804.0547,2817.114,2887.9773,2897.1785,2835.3467,2864.8745,2825.2864,2838.3289,2842.2776,2703.1277,2744.9414,2746.517,2702.2522,2720.0261,2755.7925,2739.69,2803.6926,2816.9133,2842.6519
2021-05-27,2883.092,2801.815,2685.949,2702.9592,2677.2053,2690.919,2742.7598,2743.1191,2734.0757,2760.0017,2782.9673,2778.7283,2821.4907,2786.1023,2829.4583,2858.2688,2805.8088,2770.9324,2776.605,2793.0042,2743.9414,2723.911,2765.6995,2754.312
2021-05-28,2742.6448,2703.1094,2696.943,2730.9072,2701.478,2654.9656,2564.859,2544.1418,2567.583,2494.882,2492.691,2492.531,2441.84,2565.4272,2586.5464,2549.6155,2555.2578,2479.7673,2490.3848,2518.3118,2496.68,2437.9043,2369.8684,2377.1843
2021-05-29,2406.6765,2493.328,2527.299,2502.6006,2513.6768,2471.5264,2556.9885,2524.4722,2486.3655,2463.2756,2422.7358,2419.403,2441.6482,2383.4639,2393.4924,2360.2305,2313.1514,2365.9788,2271.9153,2257.851,2247.2922,2223.0398,2276.9602,2254.4878
2021-05-30,2277.5562,2226.4263,2226.8164,2261.9346,2300.7266,2297.6082,2378.3625,2433.9148,2460.879,2432.022,2429.7578,2401.8015,2455.9915,2393.5938,2378.1287,2349.732,2385.2642,2407.7139,2432.8464,2464.1587,2440.524,2435.6023,2420.0671,2406.389
2021-05-31,2382.437,2354.03,2300.9373,2311.0166,2306.2698,2300.4316,2320.7021,2389.2998,2456.1453,2487.973,2488.5674,2560.227,2568.681,2541.4304,2531.4937,2554.0547,2637.3054,2629.2031,2618.9883,2598.4854,2621.6367,2598.7297,2629.1719,2647.7175
2021-06-01,2699.8574,2721.0667,2661.9973,2646.4495,2622.6138,2639.1924,2691.8708,2661.4297,2654.416,2562.8555,2567.062,2595.3394,2613.9695,2559.352,2625.2727,2582.9053,2576.5244,2540.9966,2559.2126,2562.7605,2548.5715,2575.8025,2595.5718,2593.6829
2021-06-02,2632.0447,2586.108,2571.5093,2595.8289,2628.2769,2621.3425,2641.8372,2651.7068,2685.6848,2712.0237,2688.1125,2693.4421,2703.8015,2698.9404,2731.2783,2776.7607,2795.8645,2753.6543,2757.8062,2758.8083,2752.5315,2719.5608,2733.572,2698.2493
2021-06-03,2706.7822,2707.1147,2677.0813,2697.3508,2723.971,2770.7551,2817.3828,2855.3655,2815.4546,2828.8474,2870.984,2888.1174,2806.7559,2832.612,2795.4092,2795.427,2794.5698,2836.9207,2824.4717,2789.1428,2804.1548,2820.533,2831.3838,2846.6765
2021-06-04,2849.1807,2801.298,2737.2566,2737.9731,2747.6934,2725.3726,2653.6597,2617.6924,2613.1448,2621.297,2650.9668,2624.92,2615.2434,2640.5122,2644.6694,2649.6006,2661.6074,2657.5417,2694.1484,2707.1055,2688.425,2699.9104,2719.4504,2718.2917
2021-06-05,2684.8481,2772.41,2760.1736,2776.6394,2774.053,2786.9766,2775.5435,2787.6758,2781.275,2813.4773,2721.9956,2704.0605,2631.5305,2631.3975,2614.3813,2597.1667,2639.0835,2622.368,2617.3066,2619.2153,2605.7576,2624.3564,2553.194,2583.906
2021-06-06,2627.247,2635.481,2683.5535,2671.754,2683.45,2673.546,2701.315,2669.7498,2691.5762,2731.6245,2719.2554,2723.851,2692.7295,2704.95,2661.4348,2710.7368,2723.6643,2717.428,2690.834,2685.5288,2675.8618,2707.2947,2698.7327,2696.9504
2021-06-07,2715.1636,2766.3616,2793.4158,2784.6394,2777.53,2768.6304,2772.0403,2761.2566,2753.0496,2754.1094,2792.324,2835.886,2819.0908,2839.6304,2792.0813,2764.265,2769.2195,2758.4458,2718.6658,2681.2507,2717.9768,2655.2366,2598.9436,2630.1
2021-06-08,2593.8538,2588.5857,2596.2942,2510.033,2500.8381,2493.8208,2505.233,2471.538,2519.7415,2523.2854,2509.4507,2485.7156,2535.7957,2499.1736,2442.6719,2374.313,2368.3762,2410.6511,2409.1128,2486.0222,2507.5217,2531.785,2534.1333,2531.6243
2021-06-09,2521.6404,2459.093,2430.3906,2443.91,2463.529,2452.4412,2472.4263,2524.3958,2506.1592,2494.1245,2480.9834,2496.1975,2540.62,2537.3591,2531.8809,2479.855,2579.9531,2597.5806,2597.3557,2580.0842,2561.603,2573.7307,2590.4539,2596.489
2021-06-10,2610.3428,2595.375,2572.098,2579.7468,2564.983,2543.9316,2540.027,2546.44,2538.263,2510.8699,2570.969,2577.0112,2558.8547,2562.5461,2548.3486,2514.7266,2515.6863,2485.2954,2474.6663,2478.4187,2459.9812,2456.5178,2479.3809,2491.6057
2021-06-11,2465.5032,2434.5942,2418.4675,2437.6138,2464.256,2481.126,2465.9985,2428.5732,2447.2942,2458.5752,2470.5962,2466.8564,2460.218,2466.115,2464.3232,2449.2878,2426.3323,2372.138,2392.8774,2416.1309,2396.875,2381.192,2349.5134,2359.4683
2021-06-12,2358.5017,2334.1074,2288.157,2265.924,2302.1165,2289.7285,2294.015,2298.4612,2313.9011,2318.9631,2328.2595,2379.8909,2390.0405,2430.5117,2429.9233,2430.5078,2402.8042,2399.954,2419.9907,2424.8418,2407.5327,2403.938,2410.995,2389.5479
2021-06-13,2368.3596,2392.0483,2414.4854,2381.1733,2325.9944,2331.322,2316.8484,2327.5571,2326.7715,2350.2424,2364.8538,2377.6687,2369.9404,2358.016,2351.0981,2336.4087,2354.5425,2387.4763,2427.9622,2423.7048,2446.3262,2522.0999,2521.1433,2505.8762
2021-06-14,2512.7085,2489.4307,2497.5938,2494.0488,2484.8096,2489.2476,2493.7993,2505.9358,2491.5193,2472.7075,2470.6887,2478.5664,2478.2097,2499.0251,2550.2363,2555.6772,2578.372,2577.3184,2577.4353,2534.154,2539.582,2548.8674,2572.1265,2554.729
2021-06-15,2581.3726,2599.6753,2583.954,2595.6074,2597.8625,2638.4253,2628.5623,2610.886,2622.1074,2577.7986,2593.6494,2575.5066,2585.9045,2587.2578,2580.9407,2541.7659,2552.4507,2557.9448,2579.2236,2574.1023,2529.0574,2519.3564,2523.1729,2559.9712
2021-06-16,2544.7136,2518.6606,2523.5842,2514.5015,2527.4053,2538.01,2538.01,2540.4246,2529.3945,2519.9326,2513.7805,2485.2515,2459.8892,2455.098,2449.383,2424.0156,2424.6572,2389.6682,2413.8772,2417.3035,2416.65,2397.5781,2414.0935,2386.8047
2021-06-17,2368.691,2398.8718,2412.8315,2426.733,2436.7488,2423.4695,2429.7964,2450.1016,2444.4873,2444.4873,2445.02,2432.167,2425.432,2395.608,2373.48,2403.0652,2418.9744,2360.087,2322.2927,2328.8674,2335.9106,2335.868,2333.8474,2367.6543
2021-06-18,2363.2014,2344.0735,2324.356,2333.3308,2336.7847,2363.5686,2334.1868,2338.457,2350.7493,2342.2695,2297.7869,2332.6758,2310.8699,2292.2883,2282.1643,2251.3928,2221.178,2228.8667,2198.121,2156.006,2153.8687,2196.7773,2221.2214,2202.9329
2021-06-19,2226.9087,2252.7751,2254.864,2209.8135,2191.4675,2199.8826,2238.7039,2237.2788,2243.1248,2240.381,2225.365,2222.8103,2245.8022,2230.4602,2235.6003,2254.3435,2234.8088,2230.6138,2222.587,2195.5176,2223.8486,2216.5342,2206.509,2176.2014
2021-06-20,2166.447,2174.1223,2172.802,2180.434,2193.1953,2197.1038,2203.8074,2198.065,2205.7993,2174.955,2162.1714,2092.264,2071.8066,2081.491,2080.1638,2111.0442,2108.0542,2128.053,2136.9065,2159.5796,2229.7844,2261.8643,2255.4275,2247.9854
2021-06-21,2248.5427,2237.8596,2215.747,2179.213,2157.6975,2126.6016,2132.0566,2015.3264,2005.9542,2011.5736,2009.7721,1930.6204,1977.5745,1954.5132,2010.3798,2002.2585,1988.159,1915.5789,1910.6387,1955.0277,1949.9987,1937.4437,1865.429,1862.746
2021-06-22,1879.9838,1920.2732,1961.6604,1956.6276,1973.7609,1972.4172,1941.144,1950.018,1937.4633,1876.2621,1873.8574,1906.2318,1861.9263,1800.41,1724.0936,1818.2435,1873.9705,1915.2736,1914.7313,1929.5906,1895.5562,1934.1034,1877.835,1893.4291
2021-06-23,1877.4878,1938.0903,2010.0208,2008.1235,2015.0657,2003.5847,2042.5635,2005.6149,2016.4683,1972.4705,1999.9834,2014.3875,2001.5624,2012.1766,1992.8881,1994.5945,1977.9581,1981.4844,1971.3564,1955.6395,1916.9712,1938.031,1933.0297,1940.4713
2021-06-24,1974.0856,1937.0963,1904.4211,1891.4368,1908.206,1911.4092,1918.9272,1927.997,1919.0011,1950.9258,1939.8196,1943.0088,1967.8083,1979.2358,1960.5815,1973.5385,1985.4364,2018.8342,2031.2383,2012.782,2017.6201,1998.7863,1992.061,1986.7869
2021-06-25,1994.2104,1983.3632,1989.5453,2003.1272,1989.8528,1988.6367,1959.5183,1962.3246,1945.0388,1942.9923,1905.6838,1870.7744,1847.0181,1860.911,1863.2808,1817.7961,1834.3043,1823.4207,1805.7836,1834.2137,1844.9296,1868.7214,1842.922,1808.3961
2021-06-26,1811.1256,1837.9104,1819.5597,1825.8896,1818.6838,1837.3326,1839.2893,1798.1785,1749.4517,1735.1497,1773.7552,1758.9608,1798.6923,1781.9966,1738.844,1778.7388,1773.3881,1753.3438,1790.064,1790.1807,1790.2079,1758.7013,1777.0294,1794.5725
2021-06-27,1821.5187,1835.7499,1858.711,1885.3995,1884.6869,1880.7848,1868.3037,1864.6665,1870.0193,1851.8174,1822.209,1827.3323,1843.8615,1849.5874,1835.25,1830.0797,1844.763,1829.3798,1817.5715,1822.1458,1814.635,1825.7228,1835.8829,1955.7799
2021-06-28,1982.578,1978.8497,1962.9158,1980.3893,1976.6919,1977.8752,1977.9058,1988.9572,2040.5326,2060.1526,2032.4381,2001.3022,1993.9508,2006.2817,2003.9312,2053.9783,2117.9043,2105.1802,2092.8154,2092.9556,2113.8494,2129.5608,2122.6384,2091.385
2021-06-29,2086.6177,2138.3538,2127.9153,2086.5137,2110.1782,2114.8167,2121.1594,2153.28,2141.017,2139.7278,2151.4917,2181.931,2169.5076,2173.1572,2236.5938,2219.2642,2218.4546,2220.4646,2224.8845,2220.6626,2223.3208,2190.3164,2203.4204,2170.7107
2021-06-30,2158.8901,2170.603,2155.0083,2163.0583,2122.4026,2095.5,2124.7642,2128.8213,2150.9521,2113.4758,2126.3743,2139.671,2160.2563,2138.8967,2142.5283,2126.0137,2109.4387,2107.896,2157.7239,2213.9502,2248.2349,2245.8496,2260.038,2260.841
2021-07-01,2268.911,2254.2341,2252.7004,2208.7825,2187.0786,2209.3452,2226.7349,2161.5513,2131.7573,2127.1816,2114.6455,2122.0264,2127.3445,2125.9495,2111.8281,2094.5413,2111.0073,2080.122,2108.6091,2106.8545,2105.2607,2125.794,2135.4321,2137.7595
2021-07-02,2106.6206,2135.1587,2087.0942,2086.2317,2037.2601,2055.658,2029.077,2036.2573,2069.3467,2052.7852,2036.0763,2040.8103,2045.5002,2049.3115,2073.0664,2121.6953,2125.3115,2117.5872,2101.3958,2101.3088,2103.733,2097.332,2101.3374,2143.551
2021-07-03,2161.3293,2146.9717,2142.1309,2138.5757,2130.2708,2140.233,2152.3423,2139.9631,2194.5405,2208.9995,2215.683,2210.5352,2213.7842,2213.2375,2236.6917,2222.3206,2219.759,2226.9292,2222.6355,2226.8381,2215.1445,2214.9119,2197.2847,2194.7122
2021-07-04,2217.5671,2206.0217,2206.8086,2217.3384,2218.6602,2224.39,2290.609,2326.55,2344.5095,2321.2312,2325.2852,2327.771,2329.5774,2308.1965,2308.1912,2325.016,2337.3289,2349.4429,2373.0352,2363.0015,2348.904,2360.1772,2373.153,2311.671
2021-07-05,2318.66,2308.4365,2264.4128,2250.2485,2267.5112,2263.2827,2272.372,2274.2188,2275.266,2276.4565,2288.429,2294.192,2198.611,2220.7253,2220.1746,2229.081,2214.5674,2209.0872,2225.667,2235.6084,2250.7986,2221.964,2235.1006,2241.8738
2021-07-06,2197.8455,2238.0188,2219.3652,2235.5168,2243.9636,2320.6028,2333.033,2317.363,2344.0144,2322.2764,2281.9983,2274.5984,2288.0923,2335.6626,2307.4473,2297.3079,2311.535,2299.275,2336.447,2310.0686,2316.2898,2314.4617,2292.8228,2316.5718
2021-07-07,2328.0388,2318.7925,2318.6829,2325.667,2340.176,2393.0903,2392.2217,2392.7212,2383.9429,2377.811,2372.1,2379.79,2392.0557,2391.9841,2390.5657,2351.8408,2331.1558,2344.3682,2362.6562,2370.6511,2356.6177,2356.3066,2335.7927,2321.9204
2021-07-08,2311.602,2285.672,2277.812,2275.4434,2253.9763,2246.0376,2216.4167,2213.4028,2183.729,2187.4385,2172.053,2150.733,2154.8218,2160.0952,2141.9941,2157.3386,2176.2405,2165.5054,2155.2454,2155.4849,2163.4192,2138.153,2105.7234,2110.2307
2021-07-09,2110.8171,2068.925,2078.2202,2118.6904,2124.3325,2149.0515,2130.1948,2115.9478,2110.1433,2102.4165,2101.015,2089.9507,2085.7612,2112.07,2130.8352,2171.0583,2180.1177,2160.6245,2140.1804,2130.199,2124.8767,2137.8528,2147.3462,2152.9338
2021-07-10,2145.574,2177.7012,2151.49,2128.8896,2140.132,2106.7842,2123.1858,2122.58,2124.6204,2121.4912,2115.7527,2095.5483,2108.7112,2119.0503,2106.5403,2113.455,2112.9553,2132.9097,2093.8127,2094.675,2090.6755,2091.556,2107.3176,2118.8105
2021-07-11,2108.7493,2121.02,2111.2468,2096.185,2084.6543,2096.179,2102.6306,2090.2183,2102.9785,2119.4536,2125.4646,2125.0957,2130.4573,2119.939,2134.595,2146.4287,2133.5134,2140.017,2139.7268,2136.838,2131.1587,2129.21,2158.9526,2146.2397
